"Replied Last Time","Time Since Last Message","Who Texted First","Response Length","Left on Read","Seen Story No Reply","Emoji Use","Only You Start Convos","Last Reaction","Mood","Decision"
"Yes",1,"Them",25,"No","No","A lot","No","LOL","Confident","Text them!"
"Yes",0,"You",15,"No","No","Sometimes","No","Haha","Meh","Text them!"
"Yes",5,"Them",8,"No","No","Sometimes","No","Dry response","Confident","Wait a bit."
"Yes",3,"You",12,"No","Yes","A lot","Yes","Haha","Meh","Wait a bit."
"Yes",2,"You",3,"No","Yes","Never","Yes","Dry response","Desperate","Try a meme first."
"No",4,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Meh","Try a meme first."
"No",10,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",14,"You",1,"No","Yes","Never","Yes","Dry response","Desperate","Try a meme first."
"No",14,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",2,"Them",5,"No","No","A lot","No","Haha","Confident","Text them!"
"Yes",7,"You",30,"No","No","Sometimes","Yes","LOL","Meh","Wait a bit."
"Yes",1,"Them",20,"No","No","A lot","No","LOL","Confident","Text them!"
"No",5,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Desperate","Try a meme first."
"Yes",0,"Them",10,"No","No","Sometimes","No","Haha","Confident","Text them!"
"No",7,"You",0,"Yes","No","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",4,"Them",15,"No","Yes","Sometimes","No","Dry response","Meh","Wait a bit."
"Yes",1,"You",40,"No","No","Sometimes","Yes","LOL","Meh","Text them!"
"Yes",2,"Them",2,"No","No","A lot","No","Haha","Confident","Text them!"
"No",3,"You",0,"Yes","No","A lot","Yes","Ignored","Meh","Try a meme first."
"Yes",6,"You",5,"No","Yes","Never","Yes","Dry response","Desperate","Wait a bit."
"Yes",0,"Them",12,"No","No","Sometimes","No","Haha","Confident","Text them!"
"No",1,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Desperate","Try a meme first."
"Yes",3,"Them",1,"No","No","Never","No","Dry response","Meh","Wait a bit."
"Yes",14,"You",1,"No","Yes","Never","Yes","Dry response","Meh","Try a meme first."
"No",14,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Desperate","Abort mission."
"Yes",2,"You",0,"No","No","A lot","Yes","Haha","Confident","Text them!"
"Yes",4,"Them",10,"No","No","Sometimes","No","Dry response","Meh","Wait a bit."
"No",8,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",1,"Them",18,"No","No","A lot","No","LOL","Confident","Text them!"
"Yes",5,"You",7,"No","Yes","Sometimes","Yes","Dry response","Meh","Wait a bit."
"Yes",3,"You",20,"No","No","Sometimes","No","Haha","Confident","Text them!"
"No",6,"You",0,"Yes","No","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",2,"Them",4,"No","Yes","A lot","No","Haha","Meh","Wait a bit."
"Yes",0,"You",10,"No","No","Sometimes","Yes","LOL","Meh","Text them!"
"No",9,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",7,"Them",6,"No","No","Sometimes","No","Dry response","Confident","Wait a bit."
"Yes",1,"You",15,"No","No","A lot","Yes","Haha","Confident","Text them!"
"No",2,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Meh","Try a meme first."
"Yes",4,"Them",8,"No","No","Never","No","Dry response","Meh","Wait a bit."
"No",12,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",3,"You",25,"No","No","Sometimes","Yes","LOL","Confident","Text them!"
"Yes",6,"Them",5,"No","Yes","A lot","No","Dry response","Meh","Wait a bit."
"No",5,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Desperate","Try a meme first."
"Yes",2,"Them",12,"No","No","A lot","No","Haha","Confident","Text them!"
"No",11,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",4,"You",3,"No","Yes","Never","Yes","Dry response","Meh","Try a meme first."
"Yes",7,"Them",10,"No","No","Sometimes","No","Haha","Confident","Wait a bit."
"No",13,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",1,"Them",30,"No","No","A lot","No","LOL","Confident","Text them!"
"Yes",5,"You",6,"No","Yes","Sometimes","Yes","Dry response","Meh","Wait a bit."
"Yes",1,"Them",20,"No","No","A lot","No","LOL","Confident","Text them!"
"No",7,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",3,"You",5,"No","Yes","Sometimes","Yes","Dry response","Meh","Wait a bit."
"Yes",14,"You",1,"No","Yes","Never","Yes","Dry response","Desperate","Try a meme first."
"Yes",0,"Them",15,"No","No","Sometimes","No","Haha","Meh","Text them!"
"Yes",5,"You",3,"No","Yes","Never","Yes","Dry response","Desperate","Try a meme first."
"No",4,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Meh","Try a meme first."
"Yes",10,"Them",30,"No","No","A lot","No","LOL","Confident","Text them!"
"Yes",2,"You",5,"No","No","Sometimes","Yes","Dry response","Meh","Wait a bit."
"Yes",1,"Them",1,"No","No","A lot","No","Haha","Confident","Text them!"
"Yes",2,"You",12,"No","No","Sometimes","No","Haha","Meh","Text them!"
"No",10,"You",0,"Yes","No","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",4,"You",10,"No","Yes","Never","No","Dry response","Meh","Wait a bit."
"Yes",0,"Them",25,"No","No","A lot","No","LOL","Confident","Text them!"
"No",14,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",6,"You",7,"No","No","Sometimes","Yes","Haha","Desperate","Wait a bit."
"Yes",3,"You",4,"No","Yes","Never","Yes","Dry response","Meh","Try a meme first."
"Yes",1,"Them",18,"No","No","A lot","No","LOL","Confident","Text them!"
"No",5,"You",0,"Yes","No","Sometimes","Yes","Ignored","Meh","Try a meme first."
"Yes",7,"You",15,"No","Yes","Sometimes","No","Dry response","Desperate","Wait a bit."
"Yes",0,"You",10,"No","No","Sometimes","No","Haha","Meh","Text them!"
"No",7,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",5,"You",8,"No","No","Never","Yes","Dry response","Meh","Wait a bit."
"Yes",2,"Them",22,"No","No","A lot","No","LOL","Confident","Text them!"
"No",3,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Desperate","Try a meme first."
"Yes",4,"You",12,"No","Yes","Sometimes","No","Haha","Meh","Wait a bit."
"Yes",1,"Them",15,"No","No","Sometimes","No","Haha","Confident","Text them!"
"No",10,"You",0,"Yes","No","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",6,"You",6,"No","Yes","Never","Yes","Dry response","Meh","Wait a bit."
"Yes",0,"Them",20,"No","No","A lot","No","LOL","Meh","Text them!"
"No",14,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",3,"You",2,"No","Yes","Sometimes","Yes","Dry response","Desperate","Try a meme first."
"Yes",2,"You",14,"No","No","Sometimes","No","Haha","Confident","Text them!"
"No",7,"You",0,"Yes","No","Never","Yes","Ignored","Meh","Abort mission."
"Yes",5,"You",10,"No","Yes","Never","Yes","Dry response","Meh","Wait a bit."
"Yes",1,"Them",25,"No","No","A lot","No","LOL","Confident","Text them!"
"No",2,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Meh","Try a meme first."
"Yes",4,"You",8,"No","No","Sometimes","Yes","Haha","Desperate","Wait a bit."
"Yes",0,"You",12,"No","No","Sometimes","No","LOL","Meh","Text them!"
"No",10,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",6,"You",5,"No","Yes","Never","Yes","Dry response","Meh","Wait a bit."
"Yes",3,"Them",18,"No","No","A lot","No","Haha","Confident","Text them!"
"No",5,"You",0,"Yes","Yes","Sometimes","Yes","Ignored","Desperate","Try a meme first."
"Yes",7,"You",9,"No","No","Sometimes","Yes","Dry response","Meh","Wait a bit."
"Yes",1,"You",11,"No","No","Sometimes","No","LOL","Confident","Text them!"
"No",14,"You",0,"Yes","No","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",4,"You",3,"No","Yes","Never","Yes","Dry response","Meh","Try a meme first."
"Yes",2,"Them",15,"No","No","A lot","No","Haha","Meh","Text them!"
"No",7,"You",0,"Yes","Yes","Never","Yes","Ignored","Desperate","Abort mission."
"Yes",5,"You",7,"No","No","Sometimes","Yes","Dry response","Meh","Wait a bit."